Hierarchical_equality Compare Summary
checkpoint: models/hierarchical_equality_mlp_seed44.pt
seed: 44
device: cpu
requested_device: cuda
target_vars: WX, YZ
pair_sizes: train=256, calibration=256, test=512
factual_validation_exact_acc: 0.9990

GW
solver: epsilon_used=0.05, method=gw
selected soft matches:
WX: top_k=8, lambda=4.0, top_site=L0-d0, selection=(exact=0.5977, gold prob=0.5921), calibration=(exact=0.5977, gold prob=0.5921), test=(exact=0.5742, gold prob=0.5741)
YZ: top_k=3, lambda=4.0, top_site=L0-d0, selection=(exact=0.5820, gold prob=0.5821), calibration=(exact=0.5820, gold prob=0.5821), test=(exact=0.5957, gold prob=0.5944)

OT
solver: epsilon_used=0.05, method=ot
selected soft matches:
WX: top_k=4, lambda=4.0, top_site=L0-d24, selection=(exact=0.7852, gold prob=0.7815), calibration=(exact=0.7852, gold prob=0.7815), test=(exact=0.7637, gold prob=0.7629)
YZ: top_k=7, lambda=4.0, top_site=L0-d2, selection=(exact=0.7305, gold prob=0.7306), calibration=(exact=0.7305, gold prob=0.7306), test=(exact=0.7598, gold prob=0.7587)

FGW
solver: alpha=0.5, epsilon_used=0.05, method=fgw
selected soft matches:
WX: top_k=1, lambda=4.0, top_site=L1-d63, selection=(exact=0.5117, gold prob=0.5137), calibration=(exact=0.5117, gold prob=0.5137), test=(exact=0.5039, gold prob=0.5028)
YZ: top_k=3, lambda=4.0, top_site=L0-d0, selection=(exact=0.5820, gold prob=0.5821), calibration=(exact=0.5820, gold prob=0.5821), test=(exact=0.5957, gold prob=0.5944)

DAS
training: min_epochs=5, plateau_patience=2, plateau_rel_delta=0.01, type=plateau_on_train_loss
selected sites:
WX: site=L0-k8, layer=0, subspace_dim=8, epochs_ran=50, selection=(exact=0.8008, gold prob=0.7937), calibration=(exact=0.8008, gold prob=0.7937), test=(exact=0.7754, gold prob=0.7771)
YZ: site=L0-k32, layer=0, subspace_dim=32, epochs_ran=50, selection=(exact=0.7812, gold prob=0.7752), calibration=(exact=0.7812, gold prob=0.7752), test=(exact=0.8027, gold prob=0.7961)

Average Summary
DAS: exact_acc=0.7891, mean_true_class_prob=0.7866, runtime_s=7.66
FGW: exact_acc=0.5498, mean_true_class_prob=0.5486, runtime_s=2.42
GW: exact_acc=0.5850, mean_true_class_prob=0.5842, runtime_s=2.56
OT: exact_acc=0.7617, mean_true_class_prob=0.7608, runtime_s=2.60

------------------------------------------------------------------------

Candidate Sweeps

GW
calibration sweep:
WX:
WX [selected]: top_k=8, lambda=4, top_site=L0-d0, exact=0.5977, gold prob=0.5921
WX: top_k=1, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=1, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5090
WX: top_k=1, lambda=1.32143, top_site=L0-d0, exact=0.5117, gold prob=0.5104
WX: top_k=1, lambda=1.85714, top_site=L0-d0, exact=0.5117, gold prob=0.5107
WX: top_k=1, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5076
WX: top_k=1, lambda=2.92857, top_site=L0-d0, exact=0.5156, gold prob=0.5103
WX: top_k=1, lambda=3.46429, top_site=L0-d0, exact=0.5078, gold prob=0.5105
WX: top_k=1, lambda=4, top_site=L0-d0, exact=0.5156, gold prob=0.5137
WX: top_k=2, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=2, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5083
WX: top_k=2, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5090
WX: top_k=2, lambda=1.85714, top_site=L0-d0, exact=0.5117, gold prob=0.5099
WX: top_k=2, lambda=2.39286, top_site=L0-d0, exact=0.5117, gold prob=0.5106
WX: top_k=2, lambda=2.92857, top_site=L0-d0, exact=0.5117, gold prob=0.5111
WX: top_k=2, lambda=3.46429, top_site=L0-d0, exact=0.5117, gold prob=0.5124
WX: top_k=2, lambda=4, top_site=L0-d0, exact=0.5156, gold prob=0.5134
WX: top_k=3, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=3, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=3, lambda=1.32143, top_site=L0-d0, exact=0.5039, gold prob=0.5027
WX: top_k=3, lambda=1.85714, top_site=L0-d0, exact=0.4844, gold prob=0.4873
WX: top_k=3, lambda=2.39286, top_site=L0-d0, exact=0.4844, gold prob=0.4866
WX: top_k=3, lambda=2.92857, top_site=L0-d0, exact=0.4883, gold prob=0.4841
WX: top_k=3, lambda=3.46429, top_site=L0-d0, exact=0.4844, gold prob=0.4835
WX: top_k=3, lambda=4, top_site=L0-d0, exact=0.4844, gold prob=0.4853
WX: top_k=4, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=4, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=4, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5074
WX: top_k=4, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5023
