Addition Compare Summary
checkpoint: models/addition_mlp_seed45.pt
seed: 45
device: cpu
requested_device: cuda
target_vars: S1, C1, S2, C2
pair_sizes: train=100, calibration=1000, test=5000
factual_validation_exact_acc: 0.6205

GW
solver: epsilon_used=0.05, method=gw
selected soft matches:
S1: top_k=7, lambda=1.4000000000000001, top_site=L3-d100, selection=(exact=0.1060, shared=2.0690), calibration=(exact=0.1060, shared=2.0690), test=(exact=0.0964, shared=2.0622)
C1: top_k=1, lambda=0.2, top_site=L1-d68, selection=(exact=0.2940, shared=2.0480), calibration=(exact=0.2940, shared=2.0480), test=(exact=0.3068, shared=2.0514)
S2: top_k=20, lambda=0.9, top_site=L1-d147, selection=(exact=0.0710, shared=1.6840), calibration=(exact=0.0710, shared=1.6840), test=(exact=0.0592, shared=1.6770)
C2: top_k=1, lambda=0.1, top_site=L3-d74, selection=(exact=0.2890, shared=2.0470), calibration=(exact=0.2890, shared=2.0470), test=(exact=0.3010, shared=2.0714)

OT
solver: epsilon_used=0.05, method=ot
selected soft matches:
S1: top_k=92, lambda=0.8, top_site=L2-d58, selection=(exact=0.1030, shared=2.0440), calibration=(exact=0.1030, shared=2.0440), test=(exact=0.0950, shared=2.0502)
C1: top_k=13, lambda=0.6000000000000001, top_site=L3-d137, selection=(exact=0.3010, shared=2.0550), calibration=(exact=0.3010, shared=2.0550), test=(exact=0.3092, shared=2.0548)
S2: top_k=33, lambda=1.0, top_site=L3-d69, selection=(exact=0.0720, shared=1.6930), calibration=(exact=0.0720, shared=1.6930), test=(exact=0.0608, shared=1.6878)
C2: top_k=32, lambda=0.6000000000000001, top_site=L0-d173, selection=(exact=0.2910, shared=2.0090), calibration=(exact=0.2910, shared=2.0090), test=(exact=0.3006, shared=2.0032)

FGW
solver: alpha=0.5, epsilon_used=0.05, method=fgw
selected soft matches:
S1: top_k=1, lambda=0.7000000000000001, top_site=L3-d39, selection=(exact=0.1050, shared=2.0500), calibration=(exact=0.1050, shared=2.0500), test=(exact=0.0932, shared=2.0478)
C1: top_k=2, lambda=0.1, top_site=L0-d187, selection=(exact=0.2950, shared=2.0490), calibration=(exact=0.2950, shared=2.0490), test=(exact=0.3130, shared=2.0628)
S2: top_k=22, lambda=1.4000000000000001, top_site=L3-d75, selection=(exact=0.0710, shared=1.6990), calibration=(exact=0.0710, shared=1.6990), test=(exact=0.0624, shared=1.7052)
C2: top_k=88, lambda=0.7000000000000001, top_site=L1-d13, selection=(exact=0.2910, shared=1.9990), calibration=(exact=0.2910, shared=1.9990), test=(exact=0.2946, shared=1.9906)

DAS
training: min_epochs=5, plateau_patience=1, plateau_rel_delta=0.01, type=plateau_on_train_loss
selected sites:
S1: site=L1-k1, layer=1, subspace_dim=1, epochs_ran=5, selection=(exact=0.1040, shared=2.0580), calibration=(exact=0.1040, shared=2.0580), test=(exact=0.0946, shared=2.0548)
C1: site=L2-k1, layer=2, subspace_dim=1, epochs_ran=5, selection=(exact=0.2850, shared=2.0330), calibration=(exact=0.2850, shared=2.0330), test=(exact=0.2996, shared=2.0364)
S2: site=L0-k1, layer=0, subspace_dim=1, epochs_ran=5, selection=(exact=0.0610, shared=1.6620), calibration=(exact=0.0610, shared=1.6620), test=(exact=0.0552, shared=1.6542)
C2: site=L2-k1, layer=2, subspace_dim=1, epochs_ran=5, selection=(exact=0.2710, shared=1.9700), calibration=(exact=0.2710, shared=1.9700), test=(exact=0.2910, shared=1.9866)

Average Summary
DAS: exact_acc=0.1851, mean_shared_digits=1.9330, runtime_s=61.66
FGW: exact_acc=0.1908, mean_shared_digits=1.9516, runtime_s=27.49
GW: exact_acc=0.1909, mean_shared_digits=1.9655, runtime_s=27.35
OT: exact_acc=0.1914, mean_shared_digits=1.9490, runtime_s=18.39

------------------------------------------------------------------------

Candidate Sweeps

GW
calibration sweep:
S1:
S1 [selected]: top_k=7, lambda=1.4, top_site=L3-d100, exact=0.1060, shared=2.0690
S1: top_k=1, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=1, lambda=0.2, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=1, lambda=0.3, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=1, lambda=0.4, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=1, lambda=0.5, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=1, lambda=0.6, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=1, lambda=0.7, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=1, lambda=0.8, top_site=L3-d100, exact=0.1030, shared=2.0630
S1: top_k=1, lambda=0.9, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=1, lambda=1, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=1, lambda=1.1, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=1, lambda=1.2, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=1, lambda=1.3, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=1, lambda=1.4, top_site=L3-d100, exact=0.1010, shared=2.0600
S1: top_k=1, lambda=1.5, top_site=L3-d100, exact=0.1010, shared=2.0590
S1: top_k=1, lambda=1.6, top_site=L3-d100, exact=0.1000, shared=2.0550
S1: top_k=1, lambda=1.7, top_site=L3-d100, exact=0.1010, shared=2.0560
S1: top_k=1, lambda=1.8, top_site=L3-d100, exact=0.1000, shared=2.0520
S1: top_k=1, lambda=1.9, top_site=L3-d100, exact=0.1010, shared=2.0530
S1: top_k=1, lambda=2, top_site=L3-d100, exact=0.1030, shared=2.0550
S1: top_k=2, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=2, lambda=0.2, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=2, lambda=0.3, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=2, lambda=0.4, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=2, lambda=0.5, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=2, lambda=0.6, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=2, lambda=0.7, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=2, lambda=0.8, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=2, lambda=0.9, top_site=L3-d100, exact=0.1040, shared=2.0660
S1: top_k=2, lambda=1, top_site=L3-d100, exact=0.1040, shared=2.0660
S1: top_k=2, lambda=1.1, top_site=L3-d100, exact=0.1040, shared=2.0660
S1: top_k=2, lambda=1.2, top_site=L3-d100, exact=0.1040, shared=2.0660
S1: top_k=2, lambda=1.3, top_site=L3-d100, exact=0.1040, shared=2.0660
S1: top_k=2, lambda=1.4, top_site=L3-d100, exact=0.1040, shared=2.0660
S1: top_k=2, lambda=1.5, top_site=L3-d100, exact=0.1040, shared=2.0660
S1: top_k=2, lambda=1.6, top_site=L3-d100, exact=0.1040, shared=2.0660
S1: top_k=2, lambda=1.7, top_site=L3-d100, exact=0.1040, shared=2.0660
S1: top_k=2, lambda=1.8, top_site=L3-d100, exact=0.1030, shared=2.0650
S1: top_k=2, lambda=1.9, top_site=L3-d100, exact=0.1030, shared=2.0650
S1: top_k=2, lambda=2, top_site=L3-d100, exact=0.1020, shared=2.0640
S1: top_k=3, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=3, lambda=0.2, top_site=L3-d100, exact=0.1010, shared=2.0630
S1: top_k=3, lambda=0.3, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=3, lambda=0.4, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=3, lambda=0.5, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=3, lambda=0.6, top_site=L3-d100, exact=0.1020, shared=2.0630
